id_ticket,fecha,canal,plan_cliente,antiguedad_meses,asunto,mensaje,categoria,prioridad,sentimiento,minutos_primera_respuesta,resuelto
TCK-0001,2026-07-25T00:33,email,free,44,Cobro duplicado en la factura de septiembre,"Buenas, revisando el extracto veo dos cargos de 29 € el mismo día de septiembre. Solo tengo una suscripción free. ¿Podéis devolver el duplicado? Quedo atento, un saludo.",facturacion,baja,neutro,2488,True
TCK-0002,2026-02-20T15:47,formulario,free,25,Fallo al conectar con Salesforce,Al conectar Salesforce el asistente se queda en el paso de autorización y acaba en un error genérico sin detalle.,integraciones,media,negativo,105,True
TCK-0003,2026-01-06T07:12,email,free,17,Petición: modo oscuro,Mucha gente del equipo trabaja de noche y agradeceríamos un modo oscuro en la interfaz. Gracias de antemano.,solicitud_funcionalidad,baja,positivo,1270,True
TCK-0004,2026-06-01T00:55,telefono,pro,2,Rate limit inesperado en la API,"Estamos recibiendo 429 con muy pocas peticiones por minuto, muy por debajo del límite que anuncia nuestro plan pro.",integraciones,baja,negativo,2604,True
TCK-0005,2026-03-20T08:43,email,business,16,El webhook deja de disparar eventos,"Nuestro webhook a delta-labs.example dejó de recibir eventos hace 24 horas. No hemos cambiado nada del lado nuestro. Quedo atento, un saludo.",integraciones,media,neutro,309,True
TCK-0006,2026-01-15T22:37,formulario,free,27,Se pierden los cambios al recargar,"Edito un informe, guardo, y al recargar la página los cambios han desaparecido. Me ha pasado 12 veces esta semana. Es urgente, por favor. Llevamos todo el día parados.",bug_producto,alta,negativo,16,False
TCK-0007,2026-03-24T17:54,formulario,business,54,Timeouts constantes en el panel,El panel tarda muchísimo en cargar y a menudo acaba en timeout. Ocurre sobre todo a primera hora de la mañana. Gracias de antemano.,rendimiento,alta,neutro,5,False
TCK-0008,2026-03-31T23:18,email,pro,30,Se pierden los cambios al recargar,"Edito un informe, guardo, y al recargar la página los cambios han desaparecido. Me ha pasado 3 veces esta semana.",bug_producto,alta,negativo,12,True
TCK-0009,2026-04-17T08:23,chat,business,11,Los gráficos no cargan en el panel,El panel principal se queda en blanco y la consola del navegador muestra un error de JavaScript. Afecta a 5 usuarios de mi equipo. Sin prisa.,bug_producto,alta,negativo,25,False
TCK-0010,2026-05-07T23:51,email,business,10,Necesito la factura con el CIF de mi empresa,Necesito rehacer la factura de octubre con los datos fiscales correctos: el CIF que aparece no es el nuestro y así no la puedo deducir.,facturacion,media,positivo,155,True
TCK-0011,2026-05-26T06:39,chat,pro,2,No puedo entrar en mi cuenta,Desde ayer no consigo iniciar sesión con pablo@orbita.example. Me dice credenciales incorrectas y el enlace de recuperación no llega ni a la bandeja de spam.,acceso_cuenta,media,neutro,446,False
TCK-0012,2026-04-02T20:06,chat,free,18,La exportación a CSV sale vacía,"La exportación a CSV descarga un fichero de 0 bytes desde la actualización de diciembre. Antes funcionaba correctamente. Quedo atento, un saludo.",bug_producto,alta,negativo,24,True
TCK-0013,2026-01-16T08:44,chat,pro,47,Sincronización con Google Sheets parada,La sincronización con Google Sheets lleva 24 horas sin actualizar. La hoja destino sigue con los datos de antes.,integraciones,alta,negativo,43,True
TCK-0014,2026-01-21T17:24,email,free,55,Nos vendría bien una API de borrado masivo,Para cumplir con nuestra política de retención de datos necesitaríamos una llamada de borrado masivo por API. Tenemos una auditoría en curso y esto es crítico.,solicitud_funcionalidad,baja,neutro,1451,True
